,tweet_length
0,64
1,68
2,66
3,62
4,91
5,62
6,67
7,64
8,91
9,65
10,62
11,68
12,95
13,64
14,90
15,67
16,101
17,94
18,55
19,66
20,66
21,93
22,63
23,68
24,96
25,118
26,69
27,67
28,97
29,60
30,58
31,68
32,51
33,96
34,20
35,62
36,80
37,97
38,73
39,65
40,83
41,65
42,60
43,109
44,19
45,83
46,33
47,64
48,45
49,57
50,64
51,63
52,63
53,67
54,49
55,53
56,56
57,99
58,63
59,100
60,137
61,130
62,94
63,105
64,137
65,128
66,137
67,107
68,102
69,113
70,108
71,107
72,118
73,104
74,110
75,103
76,65
77,78
78,56
79,97
80,54
81,67
82,66
83,93
84,65
85,67
86,89
87,65
88,63
89,67
90,104
91,43
92,87
93,82
94,58
95,106
96,64
97,101
98,51
99,97
100,49
101,67
102,57
103,99
104,80
105,64
106,64
107,105
108,61
109,62
110,93
111,68
112,79
113,83
114,62
115,83
116,67
117,92
118,46
119,59
120,69
121,65
122,66
123,53
124,80
125,89
126,64
127,51
128,65
129,55
130,72
131,92
132,65
133,62
134,56
135,137
136,105
137,105
138,125
139,121
140,101
141,99
142,108
143,110
144,100
145,77
146,101
147,126
148,109
149,112
150,65
151,76
152,105
153,63
154,66
155,67
156,56
157,69
158,99
159,65
160,67
161,89
162,67
163,66
164,101
165,65
166,65
167,67
168,62
169,97
170,53
171,55
172,111
173,77
174,64
175,89
176,68
177,67
178,109
179,103
180,62
181,66
182,78
183,76
184,66
185,57
186,67
187,47
188,64
189,65
190,84
191,105
192,57
193,107
194,65
195,58
196,68
197,59
198,67
199,49
200,71
201,64
202,118
203,137
204,111
205,67
206,123
207,103
208,113
209,65
210,96
211,66
212,67
213,66
214,66
215,67
216,105
217,48
218,67
219,95
220,57
221,105
222,107
223,67
224,66
225,65
226,60
227,96
228,47
229,66
230,105
231,62
232,52
233,63
234,65
235,89
236,75
237,59
238,96
239,66
240,64
241,65
242,80
243,97
244,78
245,65
246,64
247,69
248,67
249,72
250,79
251,67
252,96
253,66
254,65
255,118
256,131
257,110
258,137
259,112
260,107
261,87
262,77
263,96
264,57
265,61
266,67
267,57
268,64
269,93
270,64
271,65
272,66
273,67
274,109
275,55
276,71
277,67
278,77
279,92
280,89
281,66
282,48
283,39
284,56
285,58
286,91
287,66
288,126
289,51
290,65
291,86
292,63
293,52
294,78
295,60
296,75
297,68
298,69
299,56
300,113
301,63
302,106
303,137
304,115
305,122
306,103
307,102
308,102
309,98
310,78
311,49
312,63
313,57
314,65
315,63
316,101
317,67
318,103
319,57
320,72
321,101
322,90
323,66
324,65
325,88
326,62
327,65
328,64
329,56
330,91
331,61
332,70
333,66
334,66
335,66
336,65
337,64
338,70
339,97
340,62
341,66
342,64
343,62
344,30
345,76
346,73
347,98
348,67
349,74
350,67
351,66
352,51
353,58
354,67
355,78
356,69
357,59
358,104
359,137
360,112
361,103
362,103
363,121
364,110
365,127
366,108
367,107
368,106
369,71
370,80
371,91
372,63
373,61
374,44
375,62
376,94
377,67
378,58
379,67
380,89
381,65
382,69
383,59
384,95
385,99
386,47
387,63
388,96
389,94
390,69
391,86
392,74
393,67
394,63
395,65
396,89
397,98
398,65
399,67
400,99
401,65
402,69
403,35
404,71
405,19
406,91
407,58
408,58
409,76
410,60
411,94
412,65
413,71
414,93
415,62
416,52
417,90
418,67
419,61
420,111
421,128
422,119
423,129
424,113
425,120
426,124
427,115
428,106
429,124
430,122
431,113
432,137
433,118
434,111
435,115
436,64
437,56
438,96
439,59
440,65
441,51
442,65
443,67
444,59
445,50
446,66
447,59
448,87
449,86
450,65
451,99
452,67
453,60
454,40
455,50
456,90
457,108
458,54
459,109
460,77
461,61
462,76
463,64
464,61
465,73
466,55
467,67
468,58
469,96
470,66
471,52
472,64
473,73
474,67
475,79
476,117
477,61
478,70
479,61
480,63
481,79
482,41
483,99
484,66
485,97
486,88
487,69
488,124
489,95
490,100
491,116
492,123
493,131
494,126
495,105
496,111
497,109
498,85
499,104
500,89
501,58
502,74
503,42
504,66
505,68
506,86
507,63
508,96
509,95
510,80
511,58
512,63
513,132
514,66
515,93
516,79
517,101
518,68
