,tweet_length
0,77
1,114
2,137
3,108
4,84
5,108
6,79
7,119
8,83
9,127
10,94
11,132
12,106
13,100
14,88
15,139
16,75
17,102
18,71
19,97
20,118
21,81
22,31
23,104
24,70
25,123
26,20
27,78
28,30
29,109
30,37
31,31
32,58
33,66
34,47
35,60
36,33
37,54
38,28
39,33
40,138
41,40
42,71
43,116
44,94
45,132
46,73
47,87
48,33
49,62
50,85
51,138
52,62
53,44
54,38
55,47
56,52
57,128
58,74
59,109
60,96
61,47
62,90
63,35
64,110
65,35
66,53
67,138
68,103
69,136
70,94
71,98
72,131
73,116
74,128
75,139
76,135
77,125
78,95
79,132
80,64
81,46
82,70
83,99
84,57
85,84
86,62
87,102
88,34
89,54
90,60
91,71
92,76
93,135
94,52
95,31
96,41
97,75
98,105
99,124
100,53
101,92
102,107
103,25
104,108
105,120
106,108
107,116
108,95
109,97
110,99
111,74
112,38
113,37
114,52
115,33
116,34
117,73
118,42
119,28
120,37
121,35
122,35
123,37
124,36
125,56
126,45
127,103
128,36
129,44
130,17
131,58
132,31
133,72
134,43
135,51
136,86
137,48
138,41
139,48
140,101
141,59
142,41
143,100
144,41
145,46
146,29
147,54
148,64
149,49
150,86
151,58
152,41
153,122
154,45
155,33
156,35
157,52
158,74
159,36
160,42
161,28
162,68
163,75
164,33
165,45
166,75
167,50
168,17
169,37
170,48
171,48
172,42
173,27
174,97
175,51
176,66
177,64
178,129
179,127
180,47
181,54
182,110
183,84
184,113
185,126
186,32
187,33
188,74
189,39
190,48
191,67
192,56
193,81
194,73
195,74
196,89
197,89
198,79
199,71
200,90
201,90
202,84
203,94
204,87
205,80
206,94
207,94
208,89
209,83
210,85
211,92
212,84
213,81
214,85
215,91
216,88
217,92
218,91
219,91
220,75
221,93
222,85
223,87
224,91
225,85
226,92
227,83
228,88
229,80
230,86
231,80
232,68
233,85
234,91
235,87
236,90
237,85
238,82
239,78
240,92
241,88
242,93
243,87
244,90
245,93
246,89
247,93
248,94
249,74
250,87
251,89
252,81
253,79
254,85
255,87
256,92
257,93
258,93
259,86
260,93
261,81
262,84
263,68
264,90
265,93
266,88
267,88
268,89
269,93
270,89
271,87
272,84
273,93
274,86
275,79
276,81
277,94
278,87
279,79
280,89
281,91
282,89
283,90
284,70
285,89
286,92
287,92
288,92
289,91
290,78
291,93
292,91
293,84
294,86
295,93
296,63
297,70
298,83
299,92
300,89
301,71
302,77
303,94
304,88
305,93
306,70
307,76
308,87
309,90
310,90
311,83
312,82
313,85
314,78
315,85
316,82
317,92
318,91
319,55
320,79
321,78
322,89
323,81
324,89
325,70
326,62
327,84
328,72
329,82
330,90
331,94
332,91
333,83
334,88
335,79
336,94
337,91
338,82
339,83
340,91
341,93
342,88
343,88
344,88
345,89
346,88
347,72
348,92
349,88
350,91
351,75
352,88
353,84
354,93
355,87
356,85
357,74
358,81
359,87
360,92
361,91
362,75
363,92
364,92
365,91
366,83
367,89
368,81
369,88
370,92
371,86
372,77
373,84
374,85
375,94
376,82
377,90
378,91
379,80
380,88
381,89
382,77
383,93
384,75
385,76
386,84
387,84
388,73
389,74
390,69
391,80
392,92
393,87
394,92
395,91
396,78
397,74
398,84
399,88
400,90
401,79
402,88
403,77
404,82
405,82
406,65
407,88
408,94
409,77
410,73
411,84
412,93
413,91
414,76
415,90
416,87
417,92
418,80
419,88
420,86
421,93
422,94
423,91
424,90
425,77
426,82
427,93
428,88
429,84
430,70
431,90
432,83
433,83
434,92
435,87
436,92
437,84
438,92
439,93
440,80
441,91
442,82
443,88
444,88
445,90
446,93
447,91
448,83
449,94
450,80
451,81
452,81
453,85
454,94
455,80
456,84
457,92
458,89
459,88
460,89
461,73
462,94
463,94
464,89
465,77
466,89
467,89
468,92
469,90
470,74
471,89
472,77
473,65
474,70
475,74
476,89
477,91
478,94
479,89
480,85
481,73
482,86
483,87
484,88
485,91
486,92
487,56
488,91
489,87
490,74
491,78
492,85
493,85
494,81
495,89
496,92
497,84
498,80
499,74
500,94
501,87
502,88
503,74
504,83
505,85
506,85
507,70
508,87
509,78
510,87
511,75
512,65
513,82
514,73
515,81
516,91
517,81
518,94
519,88
520,83
521,88
522,80
523,85
524,76
525,83
526,75
527,79
528,62
529,90
530,83
531,79
532,70
533,85
534,82
535,88
536,84
537,83
538,79
539,93
540,94
541,88
542,76
543,81
544,94
545,70
546,70
547,89
548,94
549,89
550,90
551,78
552,92
553,93
554,93
555,73
556,78
557,82
558,90
559,87
560,87
561,85
562,91
563,87
564,70
565,79
566,93
567,82
568,82
569,85
570,83
571,68
572,92
573,72
574,88
575,76
576,87
577,72
578,90
579,63
580,90
581,93
582,69
583,94
584,85
585,92
586,76
587,56
588,93
589,64
590,68
591,70
592,91
593,86
594,83
595,85
596,82
597,92
598,91
599,81
600,67
601,91
602,87
603,94
604,79
605,92
606,93
607,93
608,86
609,64
610,76
611,62
612,89
613,89
614,72
615,84
616,86
617,92
618,94
619,93
620,81
621,89
622,89
623,82
624,87
625,94
626,83
627,79
628,91
629,73
630,63
631,84
632,84
633,90
634,74
635,83
636,87
637,56
638,72
639,84
640,89
641,82
642,86
643,94
644,89
645,91
646,93
647,78
648,91
649,90
650,94
651,55
652,86
653,59
654,90
655,90
656,79
657,78
658,73
659,70
660,86
661,93
662,87
663,94
664,89
665,93
666,89
667,87
668,86
669,85
670,84
671,94
672,88
673,94
674,80
675,72
676,72
677,87
678,86
679,82
680,92
681,94
682,94
683,85
684,90
685,76
686,93
687,90
688,90
689,81
690,88
691,75
692,86
693,93
694,79
695,87
696,91
697,88
698,82
699,78
700,80
701,67
702,80
703,69
704,63
705,88
706,82
707,91
708,83
709,90
710,84
711,85
712,78
713,92
714,89
715,83
716,88
717,76
718,89
719,82
720,94
721,63
722,76
723,92
724,86
725,75
726,87
727,83
728,78
729,78
730,79
731,62
732,75
733,90
734,92
735,93
736,63
737,85
738,88
739,94
740,78
741,83
742,74
743,75
744,84
745,78
746,84
747,81
748,83
749,90
750,69
751,93
752,91
753,79
754,91
755,62
756,78
757,82
758,63
759,71
760,91
761,83
762,92
763,61
764,85
765,83
766,91
767,83
768,89
769,85
770,84
771,86
772,76
773,71
774,92
775,74
776,79
777,90
778,88
779,80
780,89
781,91
782,81
783,87
784,80
785,94
786,85
787,88
788,94
789,92
790,76
791,90
792,79
793,88
794,77
795,73
796,72
797,80
798,70
799,79
800,91
801,82
802,93
803,88
804,93
805,87
806,64
807,68
808,86
809,80
810,82
811,77
812,70
813,83
814,75
815,84
816,85
817,80
818,88
819,71
820,94
821,69
822,90
823,80
824,90
825,89
826,85
827,79
828,79
829,81
830,77
831,89
832,92
833,83
834,92
835,77
836,92
837,82
838,83
839,75
840,83
841,88
842,89
843,90
844,94
845,92
846,93
847,94
848,85
849,90
850,87
851,90
852,77
853,86
854,75
855,86
856,86
857,79
858,74
859,83
860,58
861,88
862,88
863,85
864,89
865,90
866,83
867,86
868,87
869,74
870,85
871,91
872,73
873,73
874,79
875,78
876,71
877,93
878,92
879,73
880,89
881,93
882,70
883,89
884,71
885,81
886,88
887,87
888,80
889,163
890,124
891,101
892,28
893,60
894,56
895,137
896,28
897,118
898,102
899,73
900,100
901,48
902,70
903,42
904,83
905,79
906,84
907,68
908,104
909,95
910,91
911,54
912,104
913,74
914,67
915,59
916,60
917,87
918,70
919,97
920,79
921,101
922,70
923,97
924,65
925,67
926,89
927,89
928,93
929,88
930,85
931,73
932,70
933,86
934,87
935,79
936,71
937,109
938,87
939,111
940,77
941,100
942,70
943,77
944,111
945,70
946,101
947,67
948,87
949,64
950,67
951,96
952,69
953,100
954,74
955,97
956,102
957,86
958,96
959,76
960,74
961,89
962,72
963,100
964,101
965,50
966,84
967,81
968,84
969,92
970,101
971,94
972,97
973,105
974,72
975,93
976,89
977,89
978,133
979,121
980,78
981,93
982,33
983,77
984,79
985,119
986,109
987,68
988,47
989,67
990,36
991,58
992,74
993,84
994,90
995,135
996,91
997,121
998,87
999,104
1000,80
1001,95
1002,139
1003,86
1004,119
1005,117
1006,119
1007,103
1008,82
1009,118
1010,41
1011,131
1012,77
1013,36
1014,79
1015,126
1016,109
1017,111
1018,107
1019,113
1020,115
1021,116
1022,108
1023,102
1024,118
1025,110
1026,119
1027,125
1028,107
1029,106
1030,130
1031,100
1032,117
1033,103
1034,123
1035,119
1036,123
1037,109
1038,108
1039,118
1040,115
1041,114
1042,116
1043,117
1044,118
1045,107
1046,119
1047,112
1048,113
1049,113
1050,106
1051,106
1052,92
1053,117
1054,123
1055,110
1056,106
1057,107
1058,106
1059,110
1060,110
1061,100
1062,106
1063,119
1064,120
1065,100
1066,94
1067,98
1068,121
1069,140
1070,95
1071,104
1072,114
1073,90
1074,104
1075,111
1076,107
1077,91
1078,125
1079,118
1080,115
1081,120
1082,130
1083,130
1084,84
1085,113
1086,98
1087,107
1088,98
1089,99
1090,72
1091,91
1092,107
1093,123
1094,84
1095,118
1096,116
1097,92
1098,102
1099,123
1100,107
1101,107
1102,88
1103,111
1104,114
1105,115
1106,111
1107,112
1108,105
1109,104
1110,109
1111,108
1112,119
1113,105
1114,121
1115,116
1116,116
1117,113
1118,96
1119,117
1120,101
1121,91
1122,99
1123,105
1124,107
1125,99
1126,87
1127,115
1128,118
1129,94
1130,119
1131,117
1132,112
1133,112
1134,110
1135,106
1136,104
1137,125
1138,112
1139,100
1140,118
1141,102
1142,105
1143,113
1144,108
1145,106
1146,104
1147,115
1148,111
1149,115
1150,105
1151,112
1152,113
1153,116
1154,119
1155,128
1156,104
1157,125
1158,124
1159,113
1160,104
1161,108
1162,119
1163,117
1164,117
1165,97
1166,121
1167,126
1168,100
1169,78
1170,100
1171,101
1172,100
1173,101
1174,122
1175,107
1176,118
1177,112
1178,98
1179,103
1180,72
1181,119
1182,107
1183,112
1184,97
1185,114
1186,111
1187,114
1188,96
1189,119
1190,101
1191,120
1192,107
1193,102
1194,126
1195,112
1196,102
1197,123
1198,121
1199,121
1200,113
1201,109
1202,106
1203,111
1204,112
1205,119
1206,109
1207,120
1208,113
