,tweet_length
0,23
1,104
2,96
3,83
4,132
5,140
6,93
7,137
8,141
9,134
10,139
11,131
12,139
13,127
14,155
15,23
16,140
17,140
18,23
19,140
20,23
21,140
22,23
23,140
24,140
25,140
26,140
27,140
28,63
29,140
30,140
31,140
32,140
33,140
34,140
35,140
36,140
37,140
38,23
39,140
40,140
41,140
42,23
43,140
44,140
45,140
46,140
47,140
48,140
49,140
50,140
51,23
52,140
53,140
54,82
55,140
56,140
57,140
58,23
59,140
60,140
61,140
62,140
63,140
64,140
65,141
66,140
67,140
68,140
69,140
70,23
71,140
72,140
73,140
74,140
75,140
76,140
77,140
78,23
79,140
80,140
81,140
82,140
83,140
84,140
85,140
86,140
87,140
88,140
89,140
90,23
91,140
92,140
93,140
94,140
95,140
96,140
97,23
98,140
99,23
100,83
101,140
102,23
103,140
104,140
105,136
106,23
107,140
108,140
109,140
110,140
111,140
112,70
113,140
114,78
115,140
116,140
117,140
118,105
119,23
120,140
121,140
122,77
123,140
124,140
125,140
126,140
127,140
128,140
129,140
130,140
131,140
132,140
133,140
134,140
135,140
136,54
137,140
138,140
139,140
140,123
141,140
142,140
143,140
144,140
145,140
146,140
147,140
148,140
149,140
150,140
151,140
152,140
153,140
154,140
155,140
156,64
157,140
158,140
159,140
160,140
161,99
162,140
163,140
164,140
165,23
166,23
167,23
168,23
169,23
170,23
171,23
172,23
173,23
174,23
175,23
176,23
177,23
178,23
179,23
180,23
181,23
182,23
183,23
184,23
185,23
186,23
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,23
196,23
197,140
198,140
199,141
200,139
201,141
202,141
203,87
204,118
205,23
206,23
207,94
208,118
209,118
210,23
211,87
212,140
213,109
214,140
215,140
216,140
217,100
218,105
219,91
220,105
221,23
222,23
223,90
224,119
225,118
226,127
227,133
228,127
229,128
230,93
231,63
232,96
233,90
234,60
235,125
236,119
237,133
238,141
239,140
240,129
241,140
242,140
243,140
244,109
245,140
246,140
247,140
248,23
249,140
250,38
251,140
252,118
253,114
254,130
255,126
256,135
257,135
258,140
259,139
260,135
261,137
262,120
263,140
264,140
265,136
266,129
267,140
268,139
269,88
270,61
271,115
272,140
273,140
274,140
275,70
276,140
277,140
278,140
279,140
280,140
281,140
282,123
283,140
284,140
285,140
286,140
287,23
288,140
289,140
290,67
291,140
292,140
293,140
294,140
295,140
296,140
297,140
298,23
299,140
300,140
301,140
302,140
303,140
304,140
305,140
306,164
307,106
308,140
309,140
310,140
311,23
312,140
313,140
314,140
315,23
316,140
317,114
318,140
319,140
320,140
321,140
322,140
323,23
324,140
325,140
326,140
327,125
328,140
329,140
330,140
331,140
332,140
333,23
334,140
335,106
336,140
337,140
338,140
339,23
340,140
341,140
342,140
343,140
344,140
345,140
346,136
347,140
348,141
349,110
350,96
351,97
352,116
353,136
354,132
355,139
356,133
357,139
358,106
359,139
360,139
361,139
362,141
363,140
364,50
365,101
366,69
367,140
368,76
369,140
370,114
371,135
372,68
373,92
374,109
375,138
376,134
377,89
378,117
379,138
380,141
381,140
382,133
383,138
384,137
385,29
386,137
387,141
388,141
389,140
390,131
391,140
392,140
393,140
394,140
395,140
396,140
397,140
398,140
399,140
400,140
401,140
402,140
403,140
404,140
405,140
406,140
407,46
408,139
409,141
410,141
411,138
412,141
413,135
414,138
415,137
416,135
417,141
418,130
419,141
420,137
421,140
422,118
423,80
424,107
425,111
426,57
427,84
428,95
429,140
430,140
431,113
432,140
433,140
434,140
435,140
436,140
437,140
438,140
439,140
440,125
441,140
442,140
443,78
444,140
445,140
446,140
447,140
448,140
449,140
450,140
451,140
452,140
453,140
454,140
455,23
456,23
457,23
458,140
459,140
460,140
461,140
462,140
463,140
464,23
465,121
466,140
467,140
468,23
469,140
470,140
471,140
472,140
473,140
474,140
475,140
476,140
477,140
478,140
479,140
480,140
481,91
482,140
483,140
484,140
485,140
486,140
