,word_count
798,17
799,26
800,22
801,24
802,17
803,21
804,25
805,19
806,27
807,25
808,20
809,19
810,19
811,21
812,14
813,16
814,20
815,16
816,21
817,18
818,17
819,12
820,15
821,23
822,13
823,27
824,24
825,19
826,23
827,10
828,12
829,27
830,26
831,16
832,19
833,21
834,13
835,14
836,18
837,26
838,22
839,31
840,30
841,19
842,26
843,13
844,25
845,21
846,27
847,14
848,26
849,23
850,25
851,17
852,13
853,20
854,20
855,28
856,15
857,12
858,18
859,20
860,16
861,25
862,24
863,23
864,13
865,21
866,23
867,16
868,15
869,17
870,17
871,23
872,16
873,30
874,21
875,18
876,15
877,25
878,35
879,11
880,23
881,23
882,17
883,24
884,21
885,16
886,16
887,19
888,16
889,15
890,19
891,21
892,23
893,19
894,22
895,23
896,17
897,14
898,15
899,25
900,18
901,16
902,24
903,14
904,22
905,16
906,24
907,14
908,23
909,22
910,23
911,18
912,17
913,21
914,9
915,24
916,21
917,12
918,14
919,22
920,18
921,24
922,18
923,15
924,16
925,20
926,24
927,17
928,15
929,16
930,18
931,26
932,13
933,18
934,16
935,9
936,19
937,18
938,26
939,17
940,20
941,24
942,24
943,24
944,25
945,16
946,27
947,17
948,33
949,12
950,19
951,28
952,28
953,14
954,23
955,19
956,9
957,27
958,18
959,15
960,10
961,16
962,15
963,21
964,16
965,18
966,31
967,27
968,15
969,20
970,23
971,24
972,24
973,20
974,27
975,25
976,16
977,13
978,12
979,11
980,18
981,12
982,20
983,15
984,23
985,21
986,26
987,22
988,17
989,18
990,15
991,22
992,13
993,8
994,13
995,27
996,18
997,23
998,18
999,13
1000,15
1001,21
1002,24
1003,21
1004,12
1005,8
1006,17
1007,18
1008,18
1009,14
1010,21
1011,23
1012,21
1013,14
1014,23
1015,21
1016,14
1017,9
1018,13
1019,17
1020,9
1021,11
1022,21
1023,14
1024,17
1025,16
1026,37
1027,10
1028,22
1029,29
1030,26
1031,24
1032,27
1033,19
1034,17
1035,14
1036,11
1037,16
1038,14
1039,13
1040,26
1041,18
1042,13
1043,12
1044,29
1045,18
1046,23
1047,23
1048,25
1049,24
1050,12
1051,30
1052,18
1053,16
1054,23
1055,15
1056,23
1057,20
1058,22
1059,17
1060,22
1061,18
1062,16
1063,18
1064,23
1065,9
1066,22
1067,23
1068,20
1069,18
1070,15
1071,14
1072,20
1073,19
1074,10
1075,12
1076,19
1077,8
1078,20
1079,15
1080,18
1081,19
1082,10
1083,17
1084,11
1085,14
1086,26
1087,15
1088,14
1089,26
1090,15
1091,17
1092,7
1093,19
1094,26
1095,22
1096,21
1097,18
1098,23
1099,24
1100,14
1101,27
1102,23
1103,19
1104,21
1105,11
1106,26
1107,16
1108,27
1109,29
1110,18
1111,22
1112,17
1113,24
1114,21
1115,20
1116,20
1117,17
1118,19
1119,25
1120,22
1121,25
1122,11
1123,30
1124,24
1125,16
1126,25
1127,28
1128,15
1129,20
1130,20
1131,36
1132,21
1133,16
1134,22
1135,26
1136,19
1137,20
1138,12
1139,17
1140,24
1141,17
1142,21
1143,23
1144,19
1145,18
1146,18
1147,17
1148,28
1149,27
1150,24
1151,25
1152,21
1153,22
1154,15
1155,19
1156,25
1157,15
1158,14
1159,17
1160,19
1161,23
1162,19
1163,9
1164,22
1165,26
1166,25
1167,19
1168,31
1169,27
1170,11
1171,19
1172,18
1173,23
1174,16
1175,24
1176,17
1177,13
1178,17
1179,16
1180,15
1181,21
1182,24
1183,19
1184,18
1185,19
1186,30
1187,19
1188,32
1189,17
1190,16
1191,19
1192,17
1193,27
1194,20
1195,27
1196,17
1197,23
1198,15
1199,15
1200,11
1201,20
1202,20
1203,22
1204,11
1205,11
1206,15
1207,35
1208,19
1209,29
1210,24
1211,18
1212,16
1213,18
1214,20
1215,22
1216,28
1217,20
1218,17
1219,18
1220,21
1221,23
1222,10
1223,17
1224,13
1225,12
1226,22
1227,18
1228,17
1229,23
1230,29
1231,23
1232,24
1233,21
1234,14
1235,13
1236,21
1237,12
