,tweet_length
0,137
1,122
2,138
3,130
4,104
5,132
6,87
7,117
8,57
9,129
10,104
11,44
12,21
13,43
14,120
15,75
16,133
17,106
18,77
19,138
20,83
21,106
22,134
23,126
24,131
25,40
26,112
27,34
28,133
29,41
30,136
31,122
32,46
33,121
34,60
35,88
36,120
37,65
38,113
39,88
40,45
41,37
42,40
43,106
44,135
45,40
46,45
47,112
48,46
49,137
50,131
51,92
52,104
53,104
54,109
55,102
56,136
57,48
58,115
59,110
60,88
61,125
62,104
63,99
64,135
65,58
66,81
67,55
68,91
69,129
70,40
71,63
72,125
73,70
74,121
75,139
76,123
77,125
78,102
79,137
80,85
81,123
82,112
83,135
84,105
85,140
86,51
87,67
88,119
89,97
90,44
91,112
92,135
93,87
94,92
95,92
96,120
97,116
98,100
99,52
100,123
101,62
102,100
103,107
104,117
105,109
106,111
107,140
108,69
109,117
110,113
111,102
112,78
113,127
114,121
115,82
116,124
117,134
118,96
119,137
120,135
121,132
122,49
123,69
124,75
125,128
126,106
127,54
128,38
129,108
130,110
131,121
132,39
133,38
134,54
135,52
136,72
137,41
138,98
139,50
140,77
141,23
142,140
143,92
144,96
145,136
146,47
147,59
148,100
149,56
150,41
151,47
152,110
153,32
154,32
155,118
156,59
157,133
158,70
159,79
160,100
161,117
162,115
163,106
164,117
165,107
166,101
167,60
168,139
169,133
170,138
171,31
172,71
173,126
174,112
175,108
176,117
177,100
178,108
179,127
180,124
181,51
182,115
183,22
184,120
185,133
186,83
187,130
188,136
189,138
190,91
191,33
192,118
193,85
194,134
195,138
196,106
197,91
198,65
199,139
200,98
201,139
202,67
203,112
204,52
205,91
206,48
207,64
208,88
209,112
210,113
211,138
212,47
213,111
214,98
215,112
216,84
217,129
218,112
219,30
220,111
221,130
222,125
223,117
224,48
225,107
226,40
227,115
228,105
229,110
230,51
231,128
232,136
233,103
234,100
235,138
236,127
237,137
238,84
239,139
240,139
241,44
242,105
243,119
244,114
245,120
246,117
247,105
248,107
249,128
250,107
251,105
252,41
253,46
254,69
255,89
256,46
257,35
258,44
259,29
260,80
261,93
262,117
263,131
264,110
265,129
266,60
267,125
268,114
269,136
270,110
271,75
272,137
273,72
274,98
275,133
276,4
277,125
278,139
279,131
280,123
281,89
282,98
283,103
284,133
285,108
286,123
287,140
288,113
289,97
290,144
291,142
292,97
293,109
294,90
295,95
296,127
297,139
298,123
299,53
300,72
301,54
302,72
303,123
304,50
305,136
306,97
307,42
308,122
309,51
310,126
311,122
312,120
313,25
314,111
315,140
316,40
317,28
318,112
319,92
320,139
321,79
322,118
323,130
324,51
325,55
326,111
327,126
328,23
329,160
330,32
331,131
332,101
333,40
334,40
335,40
336,46
337,67
338,37
339,52
340,61
341,141
342,129
343,32
344,82
345,115
